MAJOR SECTOR,STOCKS,WEIGHT,SYMBOL,NAME OF COMPANY
Upstream,selan exploratn tech,0.43%,selan,selan exploration technology limited
Upstream,reliance industries,12.40%,reliance,reliance industries limited
Upstream,oil india,39.59%,oil,oil india limited
Upstream,ongc,46.11%,ongc,oil & natural gas corporation limited
Upstream,hind oil exploration,1.48%,bajajhind,bajaj hindusthan sugar limited
Recycling,va tech wabag,14.70%,wabag,va tech wabag limited
Recycling,urban env waste mgt,0.47%,gmrp&ui,gmr power and urban infra limited
Recycling,tinna rubber & infra,3.83%,elgirubco,elgi rubber company limited
Recycling,race eco chain,1.74%,race,race eco chain limited
Recycling,pondy oxides & chem.,2.70%,pocl,pondy oxides & chemicals limited
Recycling,nupur recycle,2.16%,nrl,nupur recyclers limited
Recycling,nile,1.21%,hindunilvr,hindustan unilever limited
Recycling,ion exchage,23.16%,aakash,aakash exploration services limited
Recycling,indag rubber,1.16%,elgirubco,elgi rubber company limited
Recycling,hariyana ship break,0.17%,accuracy,accuracy shipping limited
Recycling,gravita india,21.07%,gravita,gravita india limited
Recycling,ganesha ecosphere,7.80%,ganecos,ganesha ecosphere limited
Recycling,grp,2.64%,grpltd,grp limited
Recycling,felix industries,1.42%,aaron,aaron industries limited
Recycling,elgi rubber co.,0.81%,elgiequip,elgi equipments limited
Recycling,eco recycling,3.32%,adaniports,adani ports and special economic zone limited
Recycling,ems,7.15%,emslimited,ems limited
Recycling,cerebra integ. tech,0.23%,cerebraint,cerebra integrated technologies limited
Recycling,antony waste hand,4.25%,awhcl,antony waste handling cell limited
IT Large Cap,wipro,8.31%,wipro,wipro limited
IT Large Cap,tech mahindra,3.99%,techm,tech mahindra limited
IT Large Cap,tcs,46.38%,tcs,tata consultancy services limited
IT Large Cap,ltimindtree,4.74%,ltim,ltimindtree limited
IT Large Cap,infosys,20.33%,infy,infosys limited
IT Large Cap,info edge,2.42%,naukri,info edge (india) limited
IT Large Cap,hcl tech.,13.84%,ghcl,ghcl limited
Diagnostic Chains,vijaya diagnostic,9.04%,vijaya,vijaya diagnostic centre limited
Diagnostic Chains,thyrocare tech.,8.35%,thyrocare,thyrocare technologies limited
Diagnostic Chains,metropolis health.,21.32%,metropolis,metropolis healthcare limited
Diagnostic Chains,krsnaa diagnostics,3.32%,krsnaa,krsnaa diagnostics limited
Diagnostic Chains,fortis healthcare,8.14%,fortis,fortis healthcare limited
Diagnostic Chains,dr. lal pathlabs,43.34%,drreddy,dr. reddy's laboratories limited
Diagnostic Chains,apollo hospital ent.,6.48%,aplapollo,apl apollo tubes limited
IT/ITeS,eclerx services,0.36%,eclerx,eclerx services limited
IT/ITeS,zen technologies,0.24%,zentec,zen technologies limited
IT/ITeS,wipro,7.79%,wipro,wipro limited
IT/ITeS,tejas networks,0.38%,tejasnet,tejas networks limited
IT/ITeS,tech mahindra,3.74%,techm,tech mahindra limited
IT/ITeS,tata elxsi,1.48%,tataelxsi,tata elxsi limited
IT/ITeS,tcs,43.55%,tcs,tata consultancy services limited
IT/ITeS,ramco systems,0.03%,ramcosys,ramco systems limited
IT/ITeS,quick heal tech,0.08%,quickheal,quick heal technologies limited
IT/ITeS,persistent systems,1.89%,persistent,persistent systems limited
IT/ITeS,oracle finl. service,2.38%,ofss,oracle financial services software limited
IT/ITeS,nucleus software exp,0.10%,nucleus,nucleus software exports limited
IT/ITeS,ltimindtree,4.44%,ltim,ltimindtree limited
IT/ITeS,infosys,19.07%,infy,infosys limited
IT/ITeS,hcl tech.,12.98%,ghcl,ghcl limited
IT/ITeS,cyient,0.68%,cyient,cyient limited
IT/ITeS,birlasoft,0.65%,bsoft,birlasoft limited
IT/ITeS,aurum proptech,0.03%,aurum,aurum proptech limited
IT/ITeS,accelya solutions,0.08%,accelya,accelya solutions india limited
IT/ITeS,3i infotech,0.02%,3iinfoltd,3i infotech limited
Home Finance,star housing finance,0.26%,bluestarco,blue star limited
Home Finance,sammaan capital,9.13%,sammaancap,sammaan capital limited
Home Finance,srg housing,0.25%,srghfl,srg housing finance limited
Home Finance,repco home finance,1.91%,repcohome,repco home finance limited
